,county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
0,ADAMS,98546.0,67272.0,31222.0,33925.0,8848.0,6263.0,2588.0,2896.0,20773.0,14539.0,6379.0,7129.0,43912.0,30020.0,13763.0,15467.0,314.0,232.0,82.0,97.0,23837.0,16007.0,7680.0,8655.0,3652.0,1802.0,1810.0,2104.0,5431.0,4818.0,620.0,691.0,48094.0,32829.0,15292.0,16538.0,50452.0,34443.0,15930.0,17387.0,3547.0,2786.0,758.0,835.0,2254.0,1232.0,1016.0,1080.0,45097.0,30436.0,14753.0,16417.0,45122.0,31191.0,13805.0,14641.0,509.0,242.0,255.0,1124.0,631.0,643.0,2799.0,1616.0,1703.0,63.0,32.0,33.0,935.0,529.0,559.0,360.0,190.0,204.0,402.0,337.0,345.0,68.26,31.68,34.43,70.78,29.25,32.73,47.54,50.1,69.99,30.71,34.32,56.14,57.21,68.36,31.34,35.22,57.73,60.84,73.89,26.11,30.89,50.79,52.38,67.15,32.22,36.31,56.58,59.79,49.34,49.56,57.61,52.78,56.67,88.71,11.42,12.72,83.83,85.82,68.26,31.8,34.39,68.27,31.57,34.46,0.14,0.07,0.07,69.13,30.59,32.45,54.66,45.08,47.91,67.49,32.71,36.4,78.55,21.37,23.54
1,ALAMOSA,2775.0,1882.0,885.0,950.0,223.0,159.0,63.0,66.0,368.0,265.0,102.0,117.0,2008.0,1335.0,667.0,718.0,87.0,52.0,34.0,40.0,1554.0,1031.0,523.0,541.0,84.0,26.0,58.0,60.0,38.0,31.0,7.0,7.0,1354.0,920.0,430.0,461.0,1421.0,962.0,455.0,489.0,25.0,16.0,9.0,9.0,14.0,8.0,6.0,6.0,1615.0,1133.0,476.0,528.0,1058.0,693.0,364.0,376.0,15.0,13.0,14.0,26.0,19.0,19.0,130.0,88.0,92.0,11.0,4.0,4.0,28.0,22.0,23.0,6.0,6.0,6.0,0.0,0.0,0.0,67.82,31.89,34.23,71.3,28.25,29.6,86.67,93.33,72.01,27.72,31.79,73.08,73.08,66.48,33.22,35.76,67.69,70.77,59.77,39.08,45.98,36.36,36.36,66.34,33.66,34.81,78.57,82.14,30.95,69.05,71.43,100.0,100.0,81.58,18.42,18.42,0.0,0.0,67.95,31.76,34.05,67.7,32.02,34.41,5.02,2.35,2.51,65.5,34.4,35.54,57.14,42.86,42.86,70.15,29.47,32.69,64.0,36.0,36.0
2,ARAPAHOE,124639.0,94109.0,30134.0,32269.0,11842.0,9461.0,2354.0,2568.0,25370.0,19012.0,6224.0,6920.0,51658.0,38424.0,12936.0,14399.0,84.0,46.0,38.0,38.0,27014.0,18757.0,8042.0,8837.0,2933.0,1493.0,1362.0,1618.0,9654.0,9011.0,630.0,681.0,60471.0,45874.0,14405.0,15391.0,64168.0,48235.0,15729.0,16878.0,7113.0,5590.0,1515.0,1605.0,15890.0,10721.0,5089.0,5493.0,38844.0,28263.0,10389.0,11341.0,56546.0,45066.0,11388.0,11963.0,874.0,448.0,455.0,1373.0,529.0,534.0,3694.0,2113.0,2184.0,20.0,8.0,9.0,488.0,202.0,213.0,243.0,96.0,102.0,909.0,820.0,828.0,75.51,24.18,25.89,79.89,19.88,21.69,51.26,52.06,74.94,24.53,27.28,38.53,38.89,74.38,25.04,27.87,57.2,59.12,54.76,45.24,45.24,40.0,45.0,69.43,29.77,32.71,41.39,43.65,50.9,46.44,55.17,39.51,41.98,93.34,6.53,7.05,90.21,91.09,75.86,23.82,25.45,75.17,24.51,26.3,0.13,0.04,0.04,79.7,20.14,21.16,67.47,32.03,34.57,72.76,26.75,29.2,78.59,21.3,22.56
3,ARCHULETA,1641.0,1218.0,422.0,452.0,125.0,100.0,25.0,28.0,120.0,94.0,26.0,28.0,885.0,630.0,254.0,275.0,7.0,7.0,0.0,0.0,1073.0,830.0,243.0,257.0,14.0,3.0,11.0,12.0,99.0,83.0,16.0,17.0,786.0,596.0,190.0,204.0,855.0,622.0,232.0,248.0,15.0,11.0,4.0,4.0,21.0,14.0,7.0,7.0,405.0,311.0,94.0,100.0,1150.0,858.0,292.0,313.0,11.0,5.0,5.0,0.0,0.0,0.0,59.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,12.0,10.0,11.0,74.22,25.72,27.54,80.0,20.0,22.4,45.45,45.45,78.33,21.67,23.33,0.0,0.0,71.19,28.7,31.07,64.41,67.8,100.0,0.0,0.0,0.0,0.0,77.35,22.65,23.95,0.0,0.0,21.43,78.57,85.71,20.0,20.0,83.84,16.16,17.17,83.33,91.67,75.83,24.17,25.95,72.75,27.13,29.01,9.65,3.08,3.3,74.61,25.39,27.22,66.67,33.33,33.33,76.79,23.21,24.69,73.33,26.67,26.67
4,BACA,988.0,577.0,411.0,421.0,70.0,45.0,25.0,25.0,20.0,11.0,9.0,11.0,452.0,293.0,159.0,164.0,2.0,0.0,2.0,2.0,403.0,291.0,112.0,118.0,0.0,0.0,0.0,0.0,31.0,29.0,2.0,2.0,492.0,274.0,218.0,225.0,496.0,303.0,193.0,196.0,1.0,0.0,1.0,1.0,14.0,10.0,4.0,4.0,197.0,80.0,117.0,121.0,748.0,474.0,274.0,280.0,9.0,5.0,5.0,2.0,2.0,2.0,82.0,36.0,46.0,1.0,0.0,0.0,38.0,28.0,31.0,0.0,0.0,0.0,6.0,6.0,6.0,58.4,41.6,42.61,64.29,35.71,35.71,55.56,55.56,55.0,45.0,55.0,100.0,100.0,64.82,35.18,36.28,43.9,56.1,0.0,100.0,100.0,0.0,0.0,72.21,27.79,29.28,73.68,81.58,0.0,0.0,0.0,0.0,0.0,93.55,6.45,6.45,100.0,100.0,55.69,44.31,45.73,61.09,38.91,39.52,11.32,9.01,9.29,63.37,36.63,37.43,71.43,28.57,28.57,40.61,59.39,61.42,0.0,100.0,100.0
5,BENT,865.0,675.0,190.0,198.0,83.0,60.0,23.0,25.0,34.0,28.0,6.0,6.0,639.0,498.0,141.0,148.0,10.0,6.0,4.0,4.0,576.0,464.0,112.0,119.0,0.0,0.0,0.0,0.0,39.0,37.0,2.0,2.0,435.0,338.0,97.0,103.0,430.0,337.0,93.0,95.0,7.0,3.0,4.0,4.0,13.0,11.0,2.0,2.0,333.0,269.0,64.0,67.0,505.0,387.0,118.0,123.0,11.0,6.0,6.0,2.0,2.0,2.0,39.0,31.0,31.0,1.0,1.0,1.0,17.0,13.0,13.0,0.0,0.0,0.0,6.0,6.0,6.0,78.03,21.97,22.89,72.29,27.71,30.12,54.55,54.55,82.35,17.65,17.65,100.0,100.0,77.93,22.07,23.16,79.49,79.49,60.0,40.0,40.0,100.0,100.0,80.56,19.44,20.66,76.47,76.47,0.0,0.0,0.0,0.0,0.0,94.87,5.13,5.13,100.0,100.0,77.7,22.3,23.68,78.37,21.63,22.09,17.86,5.13,5.44,76.63,23.37,24.36,84.62,15.38,15.38,80.78,19.22,20.12,42.86,57.14,57.14
6,BOULDER,77586.0,64023.0,13412.0,14348.0,7066.0,6021.0,1037.0,1122.0,8949.0,7503.0,1435.0,1569.0,23123.0,18473.0,4564.0,5073.0,76.0,53.0,23.0,25.0,4849.0,3863.0,961.0,1084.0,2091.0,1163.0,906.0,1044.0,8456.0,7864.0,591.0,634.0,37990.0,31435.0,6480.0,6932.0,39596.0,32588.0,6932.0,7416.0,3128.0,2575.0,550.0,576.0,778.0,546.0,232.0,249.0,16922.0,13673.0,3214.0,3491.0,54035.0,45031.0,8899.0,9468.0,466.0,282.0,290.0,334.0,219.0,223.0,1502.0,1026.0,1075.0,17.0,12.0,12.0,19.0,8.0,9.0,253.0,154.0,160.0,661.0,634.0,646.0,82.52,17.29,18.49,85.21,14.68,15.88,60.52,62.23,83.84,16.04,17.53,65.57,66.77,79.89,19.74,21.94,68.31,71.57,69.74,30.26,32.89,70.59,70.59,79.67,19.82,22.36,42.11,47.37,55.62,43.33,49.93,60.87,63.24,93.0,6.99,7.5,95.92,97.73,82.75,17.06,18.25,82.3,17.51,18.73,0.22,0.04,0.05,83.34,16.47,17.52,70.18,29.82,32.01,80.8,18.99,20.63,82.32,17.58,18.41
7,CHAFFEE,2278.0,1707.0,568.0,609.0,191.0,155.0,36.0,40.0,38.0,26.0,12.0,12.0,947.0,730.0,216.0,236.0,0.0,0.0,0.0,0.0,938.0,680.0,257.0,272.0,9.0,4.0,5.0,6.0,84.0,79.0,5.0,6.0,1112.0,846.0,264.0,280.0,1166.0,861.0,304.0,329.0,19.0,16.0,3.0,3.0,9.0,7.0,2.0,2.0,276.0,199.0,77.0,84.0,1895.0,1430.0,462.0,492.0,17.0,12.0,13.0,5.0,5.0,5.0,59.0,45.0,46.0,0.0,0.0,0.0,73.0,64.0,65.0,3.0,1.0,1.0,17.0,17.0,17.0,74.93,24.93,26.73,81.15,18.85,20.94,70.59,76.47,68.42,31.58,31.58,100.0,100.0,77.09,22.81,24.92,76.27,77.97,0.0,0.0,0.0,0.0,0.0,72.49,27.4,29.0,87.67,89.04,44.44,55.56,66.67,33.33,33.33,94.05,5.95,7.14,100.0,100.0,76.08,23.74,25.18,73.84,26.07,28.22,6.84,2.13,2.26,75.46,24.38,25.96,77.78,22.22,22.22,72.1,27.9,30.43,84.21,15.79,15.79
8,CHEYENNE,339.0,247.0,92.0,94.0,40.0,29.0,11.0,12.0,30.0,12.0,18.0,18.0,150.0,101.0,49.0,51.0,6.0,1.0,5.0,5.0,20.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,13.0,12.0,1.0,1.0,160.0,119.0,41.0,41.0,179.0,128.0,51.0,53.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,66.0,36.0,30.0,30.0,269.0,210.0,59.0,60.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,7.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,72.86,27.14,27.73,72.5,27.5,30.0,0.0,0.0,40.0,60.0,60.0,100.0,100.0,67.33,32.67,34.0,70.0,80.0,16.67,83.33,83.33,100.0,100.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,7.69,7.69,100.0,100.0,74.38,25.62,25.62,71.51,28.49,29.61,46.49,16.01,16.01,78.07,21.93,22.3,0.0,100.0,100.0,54.55,45.45,45.45,100.0,0.0,0.0
9,CLEAR CREEK,1080.0,761.0,319.0,338.0,97.0,69.0,28.0,30.0,13.0,11.0,2.0,2.0,285.0,209.0,76.0,85.0,0.0,0.0,0.0,0.0,268.0,196.0,72.0,74.0,0.0,0.0,0.0,0.0,82.0,70.0,12.0,12.0,548.0,370.0,178.0,190.0,532.0,391.0,141.0,148.0,13.0,7.0,6.0,8.0,14.0,6.0,8.0,8.0,120.0,70.0,50.0,55.0,884.0,639.0,245.0,254.0,7.0,6.0,6.0,2.0,2.0,2.0,22.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,70.46,29.54,31.3,71.13,28.87,30.93,85.71,85.71,84.62,15.38,15.38,100.0,100.0,73.33,26.67,29.82,81.82,81.82,0.0,0.0,0.0,0.0,0.0,73.13,26.87,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37,14.63,14.63,100.0,100.0,67.52,32.48,34.67,73.5,26.5,27.82,12.32,5.93,6.33,72.29,27.71,28.73,42.86,57.14,57.14,58.33,41.67,45.83,53.85,46.15,61.54
