,county,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate,pupil_total,disabled_pupil_total,limited_eng_pupil_total,poor_pupil_total,migrant_pupil_total,title_1_pupil_total,homeless_pupil_total,gifted_pupil_total,female_pupil_total,male_pupil_total,asian_pupil_total,black_pupil_total,hispanic_pupil_total,white_pupil_total,disabled_grad_base_total,limited_eng_grad_base_total,poor_grad_base_total,migrant_grad_base_total,title_1_grad_base_total,homeless_grad_base_total,gifted_grad_base_total
0,ADAMS,68.26,31.68,34.43,70.78,29.25,32.73,47.54,50.1,69.99,30.71,34.32,56.14,57.21,68.36,31.34,35.22,57.73,60.84,73.89,26.11,30.89,50.79,52.38,67.15,32.22,36.31,56.58,59.79,49.34,49.56,57.61,52.78,56.67,88.71,11.42,12.72,83.83,85.82,68.26,31.8,34.39,68.27,31.57,34.46,0.14,0.07,0.07,69.13,30.59,32.45,54.66,45.08,47.91,67.49,32.71,36.4,78.55,21.37,23.54,98546.0,8848.0,20773.0,43912.0,314.0,23837.0,3652.0,5431.0,48094.0,50452.0,3547.0,2254.0,45097.0,45122.0,509.0,1124.0,2799.0,63.0,935.0,360.0,402.0
1,ALAMOSA,67.82,31.89,34.23,71.3,28.25,29.6,86.67,93.33,72.01,27.72,31.79,73.08,73.08,66.48,33.22,35.76,67.69,70.77,59.77,39.08,45.98,36.36,36.36,66.34,33.66,34.81,78.57,82.14,30.95,69.05,71.43,100.0,100.0,81.58,18.42,18.42,0.0,0.0,67.95,31.76,34.05,67.7,32.02,34.41,5.02,2.35,2.51,65.5,34.4,35.54,57.14,42.86,42.86,70.15,29.47,32.69,64.0,36.0,36.0,2775.0,223.0,368.0,2008.0,87.0,1554.0,84.0,38.0,1354.0,1421.0,25.0,14.0,1615.0,1058.0,15.0,26.0,130.0,11.0,28.0,6.0,0.0
2,ARAPAHOE,75.51,24.18,25.89,79.89,19.88,21.69,51.26,52.06,74.94,24.53,27.28,38.53,38.89,74.38,25.04,27.87,57.2,59.12,54.76,45.24,45.24,40.0,45.0,69.43,29.77,32.71,41.39,43.65,50.9,46.44,55.17,39.51,41.98,93.34,6.53,7.05,90.21,91.09,75.86,23.82,25.45,75.17,24.51,26.3,0.13,0.04,0.04,79.7,20.14,21.16,67.47,32.03,34.57,72.76,26.75,29.2,78.59,21.3,22.56,124639.0,11842.0,25370.0,51658.0,84.0,27014.0,2933.0,9654.0,60471.0,64168.0,7113.0,15890.0,38844.0,56546.0,874.0,1373.0,3694.0,20.0,488.0,243.0,909.0
3,ARCHULETA,74.22,25.72,27.54,80.0,20.0,22.4,45.45,45.45,78.33,21.67,23.33,0.0,0.0,71.19,28.7,31.07,64.41,67.8,100.0,0.0,0.0,0.0,0.0,77.35,22.65,23.95,0.0,0.0,21.43,78.57,85.71,20.0,20.0,83.84,16.16,17.17,83.33,91.67,75.83,24.17,25.95,72.75,27.13,29.01,9.65,3.08,3.3,74.61,25.39,27.22,66.67,33.33,33.33,76.79,23.21,24.69,73.33,26.67,26.67,1641.0,125.0,120.0,885.0,7.0,1073.0,14.0,99.0,786.0,855.0,15.0,21.0,405.0,1150.0,11.0,0.0,59.0,0.0,0.0,5.0,12.0
4,BACA,58.4,41.6,42.61,64.29,35.71,35.71,55.56,55.56,55.0,45.0,55.0,100.0,100.0,64.82,35.18,36.28,43.9,56.1,0.0,100.0,100.0,0.0,0.0,72.21,27.79,29.28,73.68,81.58,0.0,0.0,0.0,0.0,0.0,93.55,6.45,6.45,100.0,100.0,55.69,44.31,45.73,61.09,38.91,39.52,11.32,9.01,9.29,63.37,36.63,37.43,71.43,28.57,28.57,40.61,59.39,61.42,0.0,100.0,100.0,988.0,70.0,20.0,452.0,2.0,403.0,0.0,31.0,492.0,496.0,1.0,14.0,197.0,748.0,9.0,2.0,82.0,1.0,38.0,0.0,6.0
5,BENT,78.03,21.97,22.89,72.29,27.71,30.12,54.55,54.55,82.35,17.65,17.65,100.0,100.0,77.93,22.07,23.16,79.49,79.49,60.0,40.0,40.0,100.0,100.0,80.56,19.44,20.66,76.47,76.47,0.0,0.0,0.0,0.0,0.0,94.87,5.13,5.13,100.0,100.0,77.7,22.3,23.68,78.37,21.63,22.09,17.86,5.13,5.44,76.63,23.37,24.36,84.62,15.38,15.38,80.78,19.22,20.12,42.86,57.14,57.14,865.0,83.0,34.0,639.0,10.0,576.0,0.0,39.0,435.0,430.0,7.0,13.0,333.0,505.0,11.0,2.0,39.0,1.0,17.0,0.0,6.0
6,BOULDER,82.52,17.29,18.49,85.21,14.68,15.88,60.52,62.23,83.84,16.04,17.53,65.57,66.77,79.89,19.74,21.94,68.31,71.57,69.74,30.26,32.89,70.59,70.59,79.67,19.82,22.36,42.11,47.37,55.62,43.33,49.93,60.87,63.24,93.0,6.99,7.5,95.92,97.73,82.75,17.06,18.25,82.3,17.51,18.73,0.22,0.04,0.05,83.34,16.47,17.52,70.18,29.82,32.01,80.8,18.99,20.63,82.32,17.58,18.41,77586.0,7066.0,8949.0,23123.0,76.0,4849.0,2091.0,8456.0,37990.0,39596.0,3128.0,778.0,16922.0,54035.0,466.0,334.0,1502.0,17.0,19.0,253.0,661.0
7,CHAFFEE,74.93,24.93,26.73,81.15,18.85,20.94,70.59,76.47,68.42,31.58,31.58,100.0,100.0,77.09,22.81,24.92,76.27,77.97,0.0,0.0,0.0,0.0,0.0,72.49,27.4,29.0,87.67,89.04,44.44,55.56,66.67,33.33,33.33,94.05,5.95,7.14,100.0,100.0,76.08,23.74,25.18,73.84,26.07,28.22,6.84,2.13,2.26,75.46,24.38,25.96,77.78,22.22,22.22,72.1,27.9,30.43,84.21,15.79,15.79,2278.0,191.0,38.0,947.0,0.0,938.0,9.0,84.0,1112.0,1166.0,19.0,9.0,276.0,1895.0,17.0,5.0,59.0,0.0,73.0,3.0,17.0
8,CHEYENNE,72.86,27.14,27.73,72.5,27.5,30.0,0.0,0.0,40.0,60.0,60.0,100.0,100.0,67.33,32.67,34.0,70.0,80.0,16.67,83.33,83.33,100.0,100.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,7.69,7.69,100.0,100.0,74.38,25.62,25.62,71.51,28.49,29.61,46.49,16.01,16.01,78.07,21.93,22.3,0.0,100.0,100.0,54.55,45.45,45.45,100.0,0.0,0.0,339.0,40.0,30.0,150.0,6.0,20.0,0.0,13.0,160.0,179.0,1.0,2.0,66.0,269.0,2.0,1.0,10.0,2.0,0.0,0.0,1.0
9,CLEAR CREEK,70.46,29.54,31.3,71.13,28.87,30.93,85.71,85.71,84.62,15.38,15.38,100.0,100.0,73.33,26.67,29.82,81.82,81.82,0.0,0.0,0.0,0.0,0.0,73.13,26.87,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37,14.63,14.63,100.0,100.0,67.52,32.48,34.67,73.5,26.5,27.82,12.32,5.93,6.33,72.29,27.71,28.73,42.86,57.14,57.14,58.33,41.67,45.83,53.85,46.15,61.54,1080.0,97.0,13.0,285.0,0.0,268.0,0.0,82.0,548.0,532.0,13.0,14.0,120.0,884.0,7.0,2.0,22.0,0.0,0.0,0.0,16.0
10,COLORADO BOCS,46.32,54.29,54.78,61.45,44.58,44.58,60.71,67.86,45.71,54.29,54.29,54.55,68.18,46.34,53.66,54.88,57.14,71.43,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,44.44,55.56,58.33,60.0,66.67,25.0,75.0,100.0,33.33,66.67,45.99,54.01,54.52,46.62,54.55,55.01,11.88,13.96,14.09,53.99,46.77,47.53,47.62,52.38,52.38,25.59,74.88,74.88,68.75,31.25,31.25,816.0,83.0,35.0,164.0,0.0,0.0,36.0,4.0,387.0,429.0,16.0,21.0,211.0,526.0,28.0,22.0,77.0,1.0,1.0,15.0,3.0
11,CONEJOS,75.1,24.56,25.64,71.29,28.71,29.7,86.67,93.33,89.29,10.71,10.71,66.67,66.67,80.19,19.56,20.58,84.78,85.87,100.0,0.0,0.0,0.0,0.0,76.92,22.68,23.73,89.13,89.13,0.0,100.0,100.0,0.0,0.0,88.75,11.25,11.25,100.0,100.0,74.5,25.28,26.49,75.74,23.79,24.73,8.22,2.79,2.92,76.87,23.13,23.42,71.43,28.57,28.57,74.75,24.65,26.24,0.0,100.0,100.0,1755.0,101.0,28.0,1176.0,2.0,1521.0,3.0,80.0,906.0,849.0,11.0,7.0,1006.0,696.0,15.0,3.0,92.0,1.0,92.0,1.0,6.0
12,COSTILLA,65.36,34.64,37.88,73.91,26.09,28.26,100.0,100.0,80.43,19.57,20.65,100.0,100.0,64.43,35.57,38.93,90.0,90.0,66.67,33.33,33.33,100.0,100.0,62.78,37.22,40.45,83.33,83.33,38.96,61.04,67.53,80.0,80.0,100.0,0.0,0.0,100.0,100.0,66.79,33.21,37.59,64.1,35.9,38.14,24.38,12.12,13.72,38.54,61.46,67.71,50.0,50.0,50.0,71.46,28.54,30.47,100.0,0.0,0.0,586.0,46.0,92.0,506.0,21.0,403.0,77.0,5.0,274.0,312.0,4.0,2.0,466.0,96.0,1.0,17.0,30.0,1.0,18.0,5.0,3.0
13,CROWLEY,66.09,33.91,35.12,58.33,41.67,43.33,75.0,75.0,40.0,60.0,60.0,0.0,0.0,62.53,37.47,38.9,90.32,96.77,100.0,0.0,0.0,0.0,0.0,66.09,33.91,35.12,94.74,97.37,0.0,0.0,0.0,100.0,100.0,81.82,18.18,18.18,0.0,0.0,64.58,35.42,37.27,67.43,32.57,33.22,23.83,13.07,13.75,66.75,33.25,34.03,50.0,50.0,50.0,61.87,38.13,41.01,0.0,0.0,0.0,578.0,60.0,5.0,419.0,2.0,578.0,0.0,11.0,271.0,307.0,0.0,4.0,139.0,385.0,4.0,0.0,31.0,0.0,38.0,1.0,0.0
14,CUSTER,75.21,24.79,25.21,88.0,12.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,66.98,33.02,33.02,90.0,90.0,0.0,0.0,0.0,0.0,0.0,71.91,28.09,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,7.89,85.71,85.71,76.47,23.53,23.95,73.97,26.03,26.45,32.13,9.89,10.06,77.06,22.94,23.39,80.0,20.0,20.0,30.0,70.0,70.0,100.0,0.0,0.0,480.0,50.0,0.0,212.0,0.0,178.0,0.0,38.0,238.0,242.0,7.0,5.0,20.0,436.0,5.0,0.0,20.0,0.0,0.0,0.0,7.0
