county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
STATE TOTAL,STATE TOTAL,939283,705064,75.1,231706,24.7,253577,27.0,84121,65593,78.0,18348,21.8,20784,24.7,135712,101683,74.9,33730,24.9,37912,27.9,369904,273934,74.1,94138,25.4,107242,29.0,2732,1725,63.1,988,36.2,1108,40.6,223008,156814,70.3,64601,29.0,73472,32.9,21337,11326,53.1,9665,45.3,11558,54.2,73344,66620,90.8,6641,9.1,7366,10.0,458512,344767,75.2,112568,24.6,122761,26.8,480771,360297,74.9,119138,24.8,130816,27.2,8356,5496,65.8,2820,33.7,3172,38.0,28964,22363,77.2,6568,22.7,7074,24.4,48049,31117,64.8,16622,34.6,18690,38.9,301035,219543,72.9,80495,26.7,90374,30.0,521342,403611,77.4,116715,22.4,124994,24.0,2208,1433,64.9,768,34.8,840,38.0,29329,21501,73.3,7718,26.3,8433,28.8,5775,3099,53.7,3222,55.8,6171,3289,53.3,3364,54.5,25718,15791,61.4,16726,65.0,384,214,55.7,223,58.1,7398,3853,52.1,4129,55.8,2394,1175,49.1,1262,52.7,6604,6048,91.6,6156,93.2
ADAMS,MAPLETON 1,9037,5077,56.2,3919,43.4,4133,45.7,735,469,63.8,261,35.5,279,38.0,2863,1890,66.0,963,33.6,1045,36.5,2729,1948,71.4,772,28.3,837,30.7,32,18,56.3,14,43.8,15,46.9,4045,2717,67.2,1317,32.6,1365,33.7,214,142,66.4,70,32.7,79,36.9,250,205,82.0,44,17.6,47,18.8,4450,2486,55.9,1946,43.7,2049,46.0,4587,2591,56.5,1973,43.0,2084,45.4,101,54,53.5,47,46.5,47,46.5,108,51,47.2,57,52.8,58,53.7,179,86,48.0,92,51.4,96,53.6,5599,3377,60.3,2194,39.2,2362,42.2,2807,1373,48.9,1422,50.7,1462,52.1,24,7,29.2,17,70.8,17,70.8,219,129,58.9,90,41.1,91,41.6,49,18,36.7,19,38.8,219,73,33.3,76,34.7,374,142,38.0,154,41.2,8,5,62.5,5,62.5,218,118,54.1,124,56.9,41,12,29.3,16,39.0,44,27,61.4,27,61.4
ADAMS,ADAMS 12 FIVE STAR SCHOOLS,49889,34283,68.7,15424,30.9,16854,33.8,4339,3001,69.2,1325,30.5,1501,34.6,6141,4149,67.6,1969,32.1,2248,36.6,18560,12191,65.7,6267,33.8,7138,38.5,93,79,84.9,14,15.1,16,17.2,8571,5618,65.5,2873,33.5,3369,39.3,705,290,41.1,403,57.2,481,68.2,3590,3225,89.8,361,10.1,404,11.3,24340,16773,68.9,7500,30.8,8121,33.4,25549,17510,68.5,7924,31.0,8733,34.2,397,226,56.9,168,42.3,182,45.8,2388,1936,81.1,450,18.8,505,21.1,1295,725,56.0,569,43.9,614,47.4,16458,11076,67.3,5304,32.2,6059,36.8,28603,19818,69.3,8691,30.4,9230,32.3,86,47,54.7,39,45.3,42,48.8,662,455,68.7,203,30.7,222,33.5,250,118,47.2,127,50.8,379,257,67.8,261,68.9,1100,627,57.0,673,61.2,25,12,48.0,12,48.0,224,80,35.7,98,43.8,106,62,58.5,65,61.3,227,201,88.5,208,91.6
ADAMS,ADAMS COUNTY 14,8265,5510,66.7,3038,36.8,3397,41.1,876,636,72.6,266,30.4,311,35.5,3826,2795,73.1,1235,32.3,1405,36.7,6657,4745,71.3,1961,29.5,2244,33.7,54,41,75.9,14,25.9,16,29.6,5555,3989,71.8,1537,27.7,1782,32.1,886,433,48.9,440,49.7,529,59.7,377,317,84.1,75,19.9,89,23.6,3966,2652,66.9,1482,37.4,1650,41.6,4299,2858,66.5,1556,36.2,1747,40.6,67,43,64.2,25,37.3,27,40.3,20,16,80.0,4,20.0,4,20.0,222,107,48.2,115,51.8,119,53.6,6722,4616,68.7,2366,35.2,2660,39.6,1178,699,59.3,502,42.6,559,47.5,1,1,100.0,0,0.0,0,0.0,55,28,50.9,26,47.3,28,50.9,59,32,54.2,32,54.2,170,86,50.6,88,51.8,469,309,65.9,316,67.4,13,4,30.8,4,30.8,419,296,70.6,301,71.8,99,52,52.5,57,57.6,30,27,90.0,27,90.0
ADAMS,BRIGHTON 27J,17152,13109,76.4,3982,23.2,4294,25.0,1405,1133,80.6,268,19.1,300,21.4,2404,1875,78.0,522,21.7,581,24.2,5986,4687,78.3,1275,21.3,1434,24.0,73,46,63.0,26,35.6,34,46.6,624,465,74.5,157,25.2,173,27.7,383,122,31.9,260,67.9,287,74.9,703,630,89.6,70,10.0,76,10.8,8452,6475,76.6,1943,23.0,2103,24.9,8700,6634,76.3,2039,23.4,2191,25.2,100,80,80.0,20,20.0,21,21.0,436,331,75.9,105,24.1,114,26.1,336,208,61.9,124,36.9,131,39.0,7523,5721,76.0,1776,23.6,1945,25.9,8298,6440,77.6,1829,22.0,1944,23.4,36,25,69.4,11,30.6,12,33.3,423,304,71.9,117,27.7,127,30.0,66,33,50.0,35,53.0,110,63,57.3,66,60.0,338,215,63.6,229,67.8,10,5,50.0,6,60.0,18,10,55.6,10,55.6,41,21,51.2,21,51.2,63,51,81.0,52,82.5
ADAMS,BENNETT 29J,1200,895,74.6,305,25.4,312,26.0,131,90,68.7,41,31.3,41,31.3,85,57,67.1,28,32.9,29,34.1,110,78,70.9,32,29.1,32,29.1,1,1,100.0,0,0.0,0,0.0,450,329,73.1,121,26.9,123,27.3,0,0,0.0,0,0.0,0,0.0,55,51,92.7,4,7.3,4,7.3,551,413,75.0,138,25.0,140,25.4,649,482,74.3,167,25.7,172,26.5,18,14,77.8,4,22.2,4,22.2,4,4,100.0,0,0.0,0,0.0,7,5,71.4,2,28.6,2,28.6,216,147,68.1,69,31.9,69,31.9,913,695,76.1,218,23.9,225,24.6,5,3,60.0,2,40.0,2,40.0,37,27,73.0,10,27.0,10,27.0,6,3,50.0,3,50.0,3,2,66.7,2,66.7,21,17,81.0,17,81.0,0,0,0.0,0,0.0,3,1,33.3,1,33.3,0,0,0.0,0,0.0,13,13,100.0,13,100.0
ADAMS,STRASBURG 31J,1052,828,78.7,224,21.3,227,21.6,128,102,79.7,26,20.3,26,20.3,40,29,72.5,11,27.5,11,27.5,240,188,78.3,52,21.7,54,22.5,0,0,0.0,0,0.0,0,0.0,42,33,78.6,9,21.4,9,21.4,0,0,0.0,0,0.0,0,0.0,42,42,100.0,0,0.0,0,0.0,489,384,78.5,105,21.5,107,21.9,563,444,78.9,119,21.1,120,21.3,11,8,72.7,3,27.3,3,27.3,17,14,82.4,3,17.6,3,17.6,19,9,47.4,10,52.6,10,52.6,118,88,74.6,30,25.4,31,26.3,886,709,80.0,177,20.0,179,20.2,1,0,0.0,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0.0,14,12,85.7,12,85.7,5,3,60.0,3,60.0,45,36,80.0,36,80.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,5,4,80.0,4,80.0
ADAMS,WESTMINSTER 50,11951,7570,63.3,4330,36.2,4708,39.4,1234,832,67.4,401,32.5,438,35.5,5414,3744,69.2,1651,30.5,1810,33.4,9630,6183,64.2,3404,35.3,3728,38.7,61,47,77.0,14,23.0,16,26.2,4550,2856,62.8,1666,36.6,1834,40.3,1464,815,55.7,637,43.5,728,49.7,414,348,84.1,66,15.9,71,17.1,5846,3646,62.4,2178,37.3,2368,40.5,6105,3924,64.3,2152,35.2,2340,38.3,94,56,59.6,38,40.4,43,45.7,574,434,75.6,139,24.2,151,26.3,196,92,46.9,104,53.1,108,55.1,8461,5411,64.0,3014,35.6,3291,38.9,2437,1457,59.8,966,39.6,1042,42.8,18,8,44.4,10,55.6,11,61.1,171,112,65.5,59,34.5,62,36.3,65,26,40.0,27,41.5,238,147,61.8,147,61.8,452,270,59.7,278,61.5,7,6,85.7,6,85.7,50,21,42.0,22,44.0,73,43,58.9,45,61.6,20,14,70.0,14,70.0
ALAMOSA,ALAMOSA RE-11J,2420,1641,67.8,771,31.9,833,34.4,207,152,73.4,54,26.1,57,27.5,345,243,70.4,101,29.3,116,33.6,1786,1188,66.5,592,33.1,640,35.8,77,42,54.5,34,44.2,40,51.9,1201,790,65.8,411,34.2,426,35.5,84,26,31.0,58,69.0,60,71.4,26,21,80.8,5,19.2,5,19.2,1181,809,68.5,368,31.2,397,33.6,1239,832,67.2,403,32.5,436,35.2,16,9,56.3,7,43.8,7,43.8,23,16,69.6,7,30.4,7,30.4,12,7,58.3,5,41.7,5,41.7,1518,1053,69.4,459,30.2,510,33.6,814,538,66.1,275,33.8,285,35.0,2,1,50.0,1,50.0,1,50.0,35,17,48.6,17,48.6,18,51.4,14,12,85.7,13,92.9,26,19,73.1,19,73.1,118,79,66.9,82,69.5,11,4,36.4,4,36.4,5,1,20.0,1,20.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0
ALAMOSA,SANGRE DE CRISTO RE-22J,355,241,67.9,114,32.1,117,33.0,16,7,43.8,9,56.3,9,56.3,23,22,95.7,1,4.3,1,4.3,222,147,66.2,75,33.8,78,35.1,10,10,100.0,0,0.0,0,0.0,353,241,68.3,112,31.7,115,32.6,0,0,0.0,0,0.0,0,0.0,12,10,83.3,2,16.7,2,16.7,173,111,64.2,62,35.8,64,37.0,182,130,71.4,52,28.6,53,29.1,1,1,100.0,0,0.0,0,0.0,2,0,0.0,2,100.0,2,100.0,2,1,50.0,1,50.0,1,50.0,97,80,82.5,17,17.5,18,18.6,244,155,63.5,89,36.5,91,37.3,5,4,80.0,1,20.0,1,20.0,4,0,0.0,4,100.0,4,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,12,9,75.0,10,83.3,0,0,0.0,0,0.0,23,21,91.3,22,95.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0
