county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
ADAMS,98546,67272,31222,33925,8848,6263,2588,2896,20773,14539,6379,7129,43912,30020,13763,15467,314,232,82,97,23837,16007,7680,8655,3652,1802,1810,2104,5431,4818,620,691,48094,32829,15292,16538,50452,34443,15930,17387,3547,2786,758,835,2254,1232,1016,1080,45097,30436,14753,16417,45122,31191,13805,14641,509,242,255,1124,631,643,2799,1616,1703,63,32,33,935,529,559,360,190,204,402,337,345,68.26,31.68,34.43,70.78,29.25,32.73,47.54,50.1,69.99,30.71,34.32,56.14,57.21,68.36,31.34,35.22,57.73,60.84,73.89,26.11,30.89,50.79,52.38,67.15,32.22,36.31,56.58,59.79,49.34,49.56,57.61,52.78,56.67,88.71,11.42,12.72,83.83,85.82,68.26,31.8,34.39,68.27,31.57,34.46,0.14,0.07,0.07,69.13,30.59,32.45,54.66,45.08,47.91,67.49,32.71,36.4,78.55,21.37,23.54
ALAMOSA,2775,1882,885,950,223,159,63,66,368,265,102,117,2008,1335,667,718,87,52,34,40,1554,1031,523,541,84,26,58,60,38,31,7,7,1354,920,430,461,1421,962,455,489,25,16,9,9,14,8,6,6,1615,1133,476,528,1058,693,364,376,15,13,14,26,19,19,130,88,92,11,4,4,28,22,23,6,6,6,0,0,0,67.82,31.89,34.23,71.3,28.25,29.6,86.67,93.33,72.01,27.72,31.79,73.08,73.08,66.48,33.22,35.76,67.69,70.77,59.77,39.08,45.98,36.36,36.36,66.34,33.66,34.81,78.57,82.14,30.95,69.05,71.43,100.0,100.0,81.58,18.42,18.42,0.0,0.0,67.95,31.76,34.05,67.7,32.02,34.41,5.02,2.35,2.51,65.5,34.4,35.54,57.14,42.86,42.86,70.15,29.47,32.69,64.0,36.0,36.0
ARAPAHOE,124639,94109,30134,32269,11842,9461,2354,2568,25370,19012,6224,6920,51658,38424,12936,14399,84,46,38,38,27014,18757,8042,8837,2933,1493,1362,1618,9654,9011,630,681,60471,45874,14405,15391,64168,48235,15729,16878,7113,5590,1515,1605,15890,10721,5089,5493,38844,28263,10389,11341,56546,45066,11388,11963,874,448,455,1373,529,534,3694,2113,2184,20,8,9,488,202,213,243,96,102,909,820,828,75.51,24.18,25.89,79.89,19.88,21.69,51.26,52.06,74.94,24.53,27.28,38.53,38.89,74.38,25.04,27.87,57.2,59.12,54.76,45.24,45.24,40.0,45.0,69.43,29.77,32.71,41.39,43.65,50.9,46.44,55.17,39.51,41.98,93.34,6.53,7.05,90.21,91.09,75.86,23.82,25.45,75.17,24.51,26.3,0.13,0.04,0.04,79.7,20.14,21.16,67.47,32.03,34.57,72.76,26.75,29.2,78.59,21.3,22.56
ARCHULETA,1641,1218,422,452,125,100,25,28,120,94,26,28,885,630,254,275,7,7,0,0,1073,830,243,257,14,3,11,12,99,83,16,17,786,596,190,204,855,622,232,248,15,11,4,4,21,14,7,7,405,311,94,100,1150,858,292,313,11,5,5,0,0,0,59,38,40,0,0,0,0,0,0,5,1,1,12,10,11,74.22,25.72,27.54,80.0,20.0,22.4,45.45,45.45,78.33,21.67,23.33,0.0,0.0,71.19,28.7,31.07,64.41,67.8,100.0,0.0,0.0,0.0,0.0,77.35,22.65,23.95,0.0,0.0,21.43,78.57,85.71,20.0,20.0,83.84,16.16,17.17,83.33,91.67,75.83,24.17,25.95,72.75,27.13,29.01,9.65,3.08,3.3,74.61,25.39,27.22,66.67,33.33,33.33,76.79,23.21,24.69,73.33,26.67,26.67
BACA,988,577,411,421,70,45,25,25,20,11,9,11,452,293,159,164,2,0,2,2,403,291,112,118,0,0,0,0,31,29,2,2,492,274,218,225,496,303,193,196,1,0,1,1,14,10,4,4,197,80,117,121,748,474,274,280,9,5,5,2,2,2,82,36,46,1,0,0,38,28,31,0,0,0,6,6,6,58.4,41.6,42.61,64.29,35.71,35.71,55.56,55.56,55.0,45.0,55.0,100.0,100.0,64.82,35.18,36.28,43.9,56.1,0.0,100.0,100.0,0.0,0.0,72.21,27.79,29.28,73.68,81.58,0.0,0.0,0.0,0.0,0.0,93.55,6.45,6.45,100.0,100.0,55.69,44.31,45.73,61.09,38.91,39.52,11.32,9.01,9.29,63.37,36.63,37.43,71.43,28.57,28.57,40.61,59.39,61.42,0.0,100.0,100.0
BENT,865,675,190,198,83,60,23,25,34,28,6,6,639,498,141,148,10,6,4,4,576,464,112,119,0,0,0,0,39,37,2,2,435,338,97,103,430,337,93,95,7,3,4,4,13,11,2,2,333,269,64,67,505,387,118,123,11,6,6,2,2,2,39,31,31,1,1,1,17,13,13,0,0,0,6,6,6,78.03,21.97,22.89,72.29,27.71,30.12,54.55,54.55,82.35,17.65,17.65,100.0,100.0,77.93,22.07,23.16,79.49,79.49,60.0,40.0,40.0,100.0,100.0,80.56,19.44,20.66,76.47,76.47,0.0,0.0,0.0,0.0,0.0,94.87,5.13,5.13,100.0,100.0,77.7,22.3,23.68,78.37,21.63,22.09,17.86,5.13,5.44,76.63,23.37,24.36,84.62,15.38,15.38,80.78,19.22,20.12,42.86,57.14,57.14
BOULDER,77586,64023,13412,14348,7066,6021,1037,1122,8949,7503,1435,1569,23123,18473,4564,5073,76,53,23,25,4849,3863,961,1084,2091,1163,906,1044,8456,7864,591,634,37990,31435,6480,6932,39596,32588,6932,7416,3128,2575,550,576,778,546,232,249,16922,13673,3214,3491,54035,45031,8899,9468,466,282,290,334,219,223,1502,1026,1075,17,12,12,19,8,9,253,154,160,661,634,646,82.52,17.29,18.49,85.21,14.68,15.88,60.52,62.23,83.84,16.04,17.53,65.57,66.77,79.89,19.74,21.94,68.31,71.57,69.74,30.26,32.89,70.59,70.59,79.67,19.82,22.36,42.11,47.37,55.62,43.33,49.93,60.87,63.24,93.0,6.99,7.5,95.92,97.73,82.75,17.06,18.25,82.3,17.51,18.73,0.22,0.04,0.05,83.34,16.47,17.52,70.18,29.82,32.01,80.8,18.99,20.63,82.32,17.58,18.41
CHAFFEE,2462,1783,681,725,227,172,60,64,49,31,18,18,1074,775,298,320,0,0,0,0,938,680,257,272,44,19,25,27,85,80,5,7,1215,883,330,347,1247,900,351,378,19,16,3,3,11,8,3,3,348,222,127,134,2004,1481,524,557,36,26,29,22,15,17,115,80,89,1,1,1,74,65,66,17,10,11,19,18,18,72.42,27.66,29.45,75.77,26.43,28.19,72.22,80.56,63.27,36.73,36.73,68.18,77.27,72.16,27.75,29.8,69.57,77.39,0.0,0.0,0.0,100.0,100.0,72.49,27.4,29.0,87.84,89.19,43.18,56.82,61.36,58.82,64.71,94.12,5.88,8.24,94.74,94.74,72.67,27.16,28.56,72.17,28.15,30.31,5.98,2.24,2.35,73.9,26.15,27.79,72.73,27.27,27.27,63.79,36.49,38.51,84.21,15.79,15.79
CHEYENNE,339,247,92,94,40,29,11,12,30,12,18,18,150,101,49,51,6,1,5,5,20,15,5,5,0,0,0,0,13,12,1,1,160,119,41,41,179,128,51,53,1,1,0,0,2,0,2,2,66,36,30,30,269,210,59,60,2,0,0,1,1,1,10,7,8,2,2,2,0,0,0,0,0,0,1,1,1,72.86,27.14,27.73,72.5,27.5,30.0,0.0,0.0,40.0,60.0,60.0,100.0,100.0,67.33,32.67,34.0,70.0,80.0,16.67,83.33,83.33,100.0,100.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,7.69,7.69,100.0,100.0,74.38,25.62,25.62,71.51,28.49,29.61,46.49,16.01,16.01,78.07,21.93,22.3,0.0,100.0,100.0,54.55,45.45,45.45,100.0,0.0,0.0
CLEAR CREEK,1080,761,319,338,97,69,28,30,13,11,2,2,285,209,76,85,0,0,0,0,268,196,72,74,0,0,0,0,82,70,12,12,548,370,178,190,532,391,141,148,13,7,6,8,14,6,8,8,120,70,50,55,884,639,245,254,7,6,6,2,2,2,22,18,18,0,0,0,0,0,0,0,0,0,16,16,16,70.46,29.54,31.3,71.13,28.87,30.93,85.71,85.71,84.62,15.38,15.38,100.0,100.0,73.33,26.67,29.82,81.82,81.82,0.0,0.0,0.0,0.0,0.0,73.13,26.87,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37,14.63,14.63,100.0,100.0,67.52,32.48,34.67,73.5,26.5,27.82,12.32,5.93,6.33,72.29,27.71,28.73,42.86,57.14,57.14,58.33,41.67,45.83,53.85,46.15,61.54
