county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
ADAMS,98546,67272,31222,33925,8848,6263,2588,2896,20773,14539,6379,7129,43912,30020,13763,15467,314,232,82,97,23837,16007,7680,8655,3652,1802,1810,2104,5431,4818,620,691,48094,32829,15292,16538,50452,34443,15930,17387,3547,2786,758,835,2254,1232,1016,1080,45097,30436,14753,16417,45122,31191,13805,14641,509,242,255,1124,631,643,2799,1616,1703,63,32,33,935,529,559,360,190,204,402,337,345
ALAMOSA,2775,1882,885,950,223,159,63,66,368,265,102,117,2008,1335,667,718,87,52,34,40,1554,1031,523,541,84,26,58,60,38,31,7,7,1354,920,430,461,1421,962,455,489,25,16,9,9,14,8,6,6,1615,1133,476,528,1058,693,364,376,15,13,14,26,19,19,130,88,92,11,4,4,28,22,23,6,6,6,0,0,0
ARAPAHOE,124639,94109,30134,32269,11842,9461,2354,2568,25370,19012,6224,6920,51658,38424,12936,14399,84,46,38,38,27014,18757,8042,8837,2933,1493,1362,1618,9654,9011,630,681,60471,45874,14405,15391,64168,48235,15729,16878,7113,5590,1515,1605,15890,10721,5089,5493,38844,28263,10389,11341,56546,45066,11388,11963,874,448,455,1373,529,534,3694,2113,2184,20,8,9,488,202,213,243,96,102,909,820,828
ARCHULETA,1641,1218,422,452,125,100,25,28,120,94,26,28,885,630,254,275,7,7,0,0,1073,830,243,257,14,3,11,12,99,83,16,17,786,596,190,204,855,622,232,248,15,11,4,4,21,14,7,7,405,311,94,100,1150,858,292,313,11,5,5,0,0,0,59,38,40,0,0,0,0,0,0,5,1,1,12,10,11
BACA,988,577,411,421,70,45,25,25,20,11,9,11,452,293,159,164,2,0,2,2,403,291,112,118,0,0,0,0,31,29,2,2,492,274,218,225,496,303,193,196,1,0,1,1,14,10,4,4,197,80,117,121,748,474,274,280,9,5,5,2,2,2,82,36,46,1,0,0,38,28,31,0,0,0,6,6,6
BENT,865,675,190,198,83,60,23,25,34,28,6,6,639,498,141,148,10,6,4,4,576,464,112,119,0,0,0,0,39,37,2,2,435,338,97,103,430,337,93,95,7,3,4,4,13,11,2,2,333,269,64,67,505,387,118,123,11,6,6,2,2,2,39,31,31,1,1,1,17,13,13,0,0,0,6,6,6
BOULDER,77586,64023,13412,14348,7066,6021,1037,1122,8949,7503,1435,1569,23123,18473,4564,5073,76,53,23,25,4849,3863,961,1084,2091,1163,906,1044,8456,7864,591,634,37990,31435,6480,6932,39596,32588,6932,7416,3128,2575,550,576,778,546,232,249,16922,13673,3214,3491,54035,45031,8899,9468,466,282,290,334,219,223,1502,1026,1075,17,12,12,19,8,9,253,154,160,661,634,646
CHAFFEE,2462,1783,681,725,227,172,60,64,49,31,18,18,1074,775,298,320,0,0,0,0,938,680,257,272,44,19,25,27,85,80,5,7,1215,883,330,347,1247,900,351,378,19,16,3,3,11,8,3,3,348,222,127,134,2004,1481,524,557,36,26,29,22,15,17,115,80,89,1,1,1,74,65,66,17,10,11,19,18,18
CHEYENNE,339,247,92,94,40,29,11,12,30,12,18,18,150,101,49,51,6,1,5,5,20,15,5,5,0,0,0,0,13,12,1,1,160,119,41,41,179,128,51,53,1,1,0,0,2,0,2,2,66,36,30,30,269,210,59,60,2,0,0,1,1,1,10,7,8,2,2,2,0,0,0,0,0,0,1,1,1
CLEAR CREEK,1080,761,319,338,97,69,28,30,13,11,2,2,285,209,76,85,0,0,0,0,268,196,72,74,0,0,0,0,82,70,12,12,548,370,178,190,532,391,141,148,13,7,6,8,14,6,8,8,120,70,50,55,884,639,245,254,7,6,6,2,2,2,22,18,18,0,0,0,0,0,0,0,0,0,16,16,16
