county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
STATE TOTAL,STATE TOTAL,939283,705064,231706,253577,84121,65593,18348,20784,135712,101683,33730,37912,369904,273934,94138,107242,2732,1725,988,1108,223008,156814,64601,73472,21337,11326,9665,11558,73344,66620,6641,7366,458512,344767,112568,122761,480771,360297,119138,130816,28964,22363,6568,7074,48049,31117,16622,18690,301035,219543,80495,90374,521342,403611,116715,124994,5775,3099,3222,6171,3289,3364,25718,15791,16726,384,214,223,7398,3853,4129,2394,1175,1262,6604,6048,6156,75.06,24.67,27.0,77.97,21.81,24.71,53.66,55.79,74.93,24.85,27.94,53.3,54.51,74.06,25.45,28.99,61.4,65.04,63.14,36.16,40.56,55.73,58.07,70.32,28.97,32.95,52.08,55.81,53.08,45.3,54.17,49.08,52.72,90.83,9.05,10.04,91.58,93.22,75.19,24.55,26.77,74.94,24.78,27.21,0.02,0.01,0.01,77.42,22.39,23.98,64.76,34.59,38.9,72.93,26.74,30.02,77.21,22.68,24.42
ADAMS,MAPLETON 1,9037,5077,3919,4133,735,469,261,279,2863,1890,963,1045,2729,1948,772,837,32,18,14,15,4045,2717,1317,1365,214,142,70,79,250,205,44,47,4450,2486,1946,2049,4587,2591,1973,2084,108,51,57,58,179,86,92,96,5599,3377,2194,2362,2807,1373,1422,1462,49,18,19,219,73,76,374,142,154,8,5,5,218,118,124,41,12,16,44,27,27,56.18,43.37,45.73,63.81,35.51,37.96,36.73,38.78,66.01,33.64,36.5,33.33,34.7,71.38,28.29,30.67,37.97,41.18,56.25,43.75,46.88,62.5,62.5,67.17,32.56,33.75,54.13,56.88,66.36,32.71,36.92,29.27,39.02,82.0,17.6,18.8,61.36,61.36,55.87,43.73,46.04,56.49,43.01,45.43,1.26,0.98,1.03,48.91,50.66,52.08,48.04,51.4,53.63,60.31,39.19,42.19,47.22,52.78,53.7
ADAMS,ADAMS 12 FIVE STAR SCHOOLS,49889,34283,15424,16854,4339,3001,1325,1501,6141,4149,1969,2248,18560,12191,6267,7138,93,79,14,16,8571,5618,2873,3369,705,290,403,481,3590,3225,361,404,24340,16773,7500,8121,25549,17510,7924,8733,2388,1936,450,505,1295,725,569,614,16458,11076,5304,6059,28603,19818,8691,9230,250,118,127,379,257,261,1100,627,673,25,12,12,224,80,98,106,62,65,227,201,208,68.72,30.92,33.78,69.16,30.54,34.59,47.2,50.8,67.56,32.06,36.61,67.81,68.87,65.68,33.77,38.46,57.0,61.18,84.95,15.05,17.2,48.0,48.0,65.55,33.52,39.31,35.71,43.75,41.13,57.16,68.23,58.49,61.32,89.83,10.06,11.25,88.55,91.63,68.91,30.81,33.36,68.53,31.01,34.18,0.28,0.13,0.14,69.29,30.38,32.27,55.98,43.94,47.41,67.3,32.23,36.81,81.07,18.84,21.15
ADAMS,ADAMS COUNTY 14,8265,5510,3038,3397,876,636,266,311,3826,2795,1235,1405,6657,4745,1961,2244,54,41,14,16,5555,3989,1537,1782,886,433,440,529,377,317,75,89,3966,2652,1482,1650,4299,2858,1556,1747,20,16,4,4,222,107,115,119,6722,4616,2366,2660,1178,699,502,559,59,32,32,170,86,88,469,309,316,13,4,4,419,296,301,99,52,57,30,27,27,66.67,36.76,41.1,72.6,30.37,35.5,54.24,54.24,73.05,32.28,36.72,50.59,51.76,71.28,29.46,33.71,65.88,67.38,75.93,25.93,29.63,30.77,30.77,71.81,27.67,32.08,70.64,71.84,48.87,49.66,59.71,52.53,57.58,84.08,19.89,23.61,90.0,90.0,66.87,37.37,41.6,66.48,36.19,40.64,1.69,0.94,1.05,59.34,42.61,47.45,48.2,51.8,53.6,68.67,35.2,39.57,80.0,20.0,20.0
ADAMS,BRIGHTON 27J,17152,13109,3982,4294,1405,1133,268,300,2404,1875,522,581,5986,4687,1275,1434,73,46,26,34,624,465,157,173,383,122,260,287,703,630,70,76,8452,6475,1943,2103,8700,6634,2039,2191,436,331,105,114,336,208,124,131,7523,5721,1776,1945,8298,6440,1829,1944,66,33,35,110,63,66,338,215,229,10,5,6,18,10,10,41,21,21,63,51,52,76.43,23.22,25.03,80.64,19.07,21.35,50.0,53.03,78.0,21.71,24.17,57.27,60.0,78.3,21.3,23.96,63.61,67.75,63.01,35.62,46.58,50.0,60.0,74.52,25.16,27.72,55.56,55.56,31.85,67.89,74.93,51.22,51.22,89.62,9.96,10.81,80.95,82.54,76.61,22.99,24.88,76.25,23.44,25.18,0.91,0.27,0.29,77.61,22.04,23.43,61.9,36.9,38.99,76.05,23.61,25.85,75.92,24.08,26.15
ADAMS,BENNETT 29J,1200,895,305,312,131,90,41,41,85,57,28,29,110,78,32,32,1,1,0,0,450,329,121,123,0,0,0,0,55,51,4,4,551,413,138,140,649,482,167,172,4,4,0,0,7,5,2,2,216,147,69,69,913,695,218,225,6,3,3,3,2,2,21,17,17,0,0,0,3,1,1,0,0,0,13,13,13,74.58,25.42,26.0,68.7,31.3,31.3,50.0,50.0,67.06,32.94,34.12,66.67,66.67,70.91,29.09,29.09,80.95,80.95,100.0,0.0,0.0,0.0,0.0,73.11,26.89,27.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,92.73,7.27,7.27,100.0,100.0,74.95,25.05,25.41,74.27,25.73,26.5,13.6,4.55,4.61,76.12,23.88,24.64,71.43,28.57,28.57,68.06,31.94,31.94,100.0,0.0,0.0
ADAMS,STRASBURG 31J,1052,828,224,227,128,102,26,26,40,29,11,11,240,188,52,54,0,0,0,0,42,33,9,9,0,0,0,0,42,42,0,0,489,384,105,107,563,444,119,120,17,14,3,3,19,9,10,10,118,88,30,31,886,709,177,179,14,12,12,5,3,3,45,36,36,0,0,0,3,3,3,0,0,0,5,4,4,78.71,21.29,21.58,79.69,20.31,20.31,85.71,85.71,72.5,27.5,27.5,60.0,60.0,78.33,21.67,22.5,80.0,80.0,0.0,0.0,0.0,0.0,0.0,78.57,21.43,21.43,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,80.0,78.53,21.47,21.88,78.86,21.14,21.31,16.06,4.39,4.47,80.02,19.98,20.2,47.37,52.63,52.63,74.58,25.42,26.27,82.35,17.65,17.65
ADAMS,WESTMINSTER 50,11951,7570,4330,4708,1234,832,401,438,5414,3744,1651,1810,9630,6183,3404,3728,61,47,14,16,4550,2856,1666,1834,1464,815,637,728,414,348,66,71,5846,3646,2178,2368,6105,3924,2152,2340,574,434,139,151,196,92,104,108,8461,5411,3014,3291,2437,1457,966,1042,65,26,27,238,147,147,452,270,278,7,6,6,50,21,22,73,43,45,20,14,14,63.34,36.23,39.39,67.42,32.5,35.49,40.0,41.54,69.15,30.5,33.43,61.76,61.76,64.21,35.35,38.71,59.73,61.5,77.05,22.95,26.23,85.71,85.71,62.77,36.62,40.31,42.0,44.0,55.67,43.51,49.73,58.9,61.64,84.06,15.94,17.15,70.0,70.0,62.37,37.26,40.51,64.28,35.25,38.33,1.07,0.64,0.69,59.79,39.64,42.76,46.94,53.06,55.1,63.95,35.62,38.9,75.61,24.22,26.31
ALAMOSA,ALAMOSA RE-11J,2420,1641,771,833,207,152,54,57,345,243,101,116,1786,1188,592,640,77,42,34,40,1201,790,411,426,84,26,58,60,26,21,5,5,1181,809,368,397,1239,832,403,436,23,16,7,7,12,7,5,5,1518,1053,459,510,814,538,275,285,14,12,13,26,19,19,118,79,82,11,4,4,5,1,1,6,6,6,0,0,0,67.81,31.86,34.42,73.43,26.09,27.54,85.71,92.86,70.43,29.28,33.62,73.08,73.08,66.52,33.15,35.83,66.95,69.49,54.55,44.16,51.95,36.36,36.36,65.78,34.22,35.47,20.0,20.0,30.95,69.05,71.43,100.0,100.0,80.77,19.23,19.23,0.0,0.0,68.5,31.16,33.62,67.15,32.53,35.19,5.8,2.64,2.85,66.09,33.78,35.01,58.33,41.67,41.67,69.37,30.24,33.6,69.57,30.43,30.43
ALAMOSA,SANGRE DE CRISTO RE-22J,355,241,114,117,16,7,9,9,23,22,1,1,222,147,75,78,10,10,0,0,353,241,112,115,0,0,0,0,12,10,2,2,173,111,62,64,182,130,52,53,2,0,2,2,2,1,1,1,97,80,17,18,244,155,89,91,1,1,1,0,0,0,12,9,10,0,0,0,23,21,22,0,0,0,0,0,0,67.89,32.11,32.96,43.75,56.25,56.25,100.0,100.0,95.65,4.35,4.35,0.0,0.0,66.22,33.78,35.14,75.0,83.33,100.0,0.0,0.0,0.0,0.0,68.27,31.73,32.58,91.3,95.65,0.0,0.0,0.0,0.0,0.0,83.33,16.67,16.67,0.0,0.0,64.16,35.84,36.99,71.43,28.57,29.12,37.09,20.72,21.38,63.52,36.48,37.3,50.0,50.0,50.0,82.47,17.53,18.56,0.0,100.0,100.0
