county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
STATE TOTAL,STATE TOTAL,939283,705064,231706,253577,84121,65593,18348,20784,135712,101683,33730,37912,369904,273934,94138,107242,2732,1725,988,1108,223008,156814,64601,73472,21337,11326,9665,11558,73344,66620,6641,7366,458512,344767,112568,122761,480771,360297,119138,130816,28964,22363,6568,7074,48049,31117,16622,18690,301035,219543,80495,90374,521342,403611,116715,124994,5775,3099,3222,6171,3289,3364,25718,15791,16726,384,214,223,7398,3853,4129,2394,1175,1262,6604,6048,6156
ADAMS,MAPLETON 1,9037,5077,3919,4133,735,469,261,279,2863,1890,963,1045,2729,1948,772,837,32,18,14,15,4045,2717,1317,1365,214,142,70,79,250,205,44,47,4450,2486,1946,2049,4587,2591,1973,2084,108,51,57,58,179,86,92,96,5599,3377,2194,2362,2807,1373,1422,1462,49,18,19,219,73,76,374,142,154,8,5,5,218,118,124,41,12,16,44,27,27
ADAMS,ADAMS 12 FIVE STAR SCHOOLS,49889,34283,15424,16854,4339,3001,1325,1501,6141,4149,1969,2248,18560,12191,6267,7138,93,79,14,16,8571,5618,2873,3369,705,290,403,481,3590,3225,361,404,24340,16773,7500,8121,25549,17510,7924,8733,2388,1936,450,505,1295,725,569,614,16458,11076,5304,6059,28603,19818,8691,9230,250,118,127,379,257,261,1100,627,673,25,12,12,224,80,98,106,62,65,227,201,208
ADAMS,ADAMS COUNTY 14,8265,5510,3038,3397,876,636,266,311,3826,2795,1235,1405,6657,4745,1961,2244,54,41,14,16,5555,3989,1537,1782,886,433,440,529,377,317,75,89,3966,2652,1482,1650,4299,2858,1556,1747,20,16,4,4,222,107,115,119,6722,4616,2366,2660,1178,699,502,559,59,32,32,170,86,88,469,309,316,13,4,4,419,296,301,99,52,57,30,27,27
ADAMS,BRIGHTON 27J,17152,13109,3982,4294,1405,1133,268,300,2404,1875,522,581,5986,4687,1275,1434,73,46,26,34,624,465,157,173,383,122,260,287,703,630,70,76,8452,6475,1943,2103,8700,6634,2039,2191,436,331,105,114,336,208,124,131,7523,5721,1776,1945,8298,6440,1829,1944,66,33,35,110,63,66,338,215,229,10,5,6,18,10,10,41,21,21,63,51,52
ADAMS,BENNETT 29J,1200,895,305,312,131,90,41,41,85,57,28,29,110,78,32,32,1,1,0,0,450,329,121,123,0,0,0,0,55,51,4,4,551,413,138,140,649,482,167,172,4,4,0,0,7,5,2,2,216,147,69,69,913,695,218,225,6,3,3,3,2,2,21,17,17,0,0,0,3,1,1,0,0,0,13,13,13
ADAMS,STRASBURG 31J,1052,828,224,227,128,102,26,26,40,29,11,11,240,188,52,54,0,0,0,0,42,33,9,9,0,0,0,0,42,42,0,0,489,384,105,107,563,444,119,120,17,14,3,3,19,9,10,10,118,88,30,31,886,709,177,179,14,12,12,5,3,3,45,36,36,0,0,0,3,3,3,0,0,0,5,4,4
ADAMS,WESTMINSTER 50,11951,7570,4330,4708,1234,832,401,438,5414,3744,1651,1810,9630,6183,3404,3728,61,47,14,16,4550,2856,1666,1834,1464,815,637,728,414,348,66,71,5846,3646,2178,2368,6105,3924,2152,2340,574,434,139,151,196,92,104,108,8461,5411,3014,3291,2437,1457,966,1042,65,26,27,238,147,147,452,270,278,7,6,6,50,21,22,73,43,45,20,14,14
ALAMOSA,ALAMOSA RE-11J,2420,1641,771,833,207,152,54,57,345,243,101,116,1786,1188,592,640,77,42,34,40,1201,790,411,426,84,26,58,60,26,21,5,5,1181,809,368,397,1239,832,403,436,23,16,7,7,12,7,5,5,1518,1053,459,510,814,538,275,285,14,12,13,26,19,19,118,79,82,11,4,4,5,1,1,6,6,6,0,0,0
ALAMOSA,SANGRE DE CRISTO RE-22J,355,241,114,117,16,7,9,9,23,22,1,1,222,147,75,78,10,10,0,0,353,241,112,115,0,0,0,0,12,10,2,2,173,111,62,64,182,130,52,53,2,0,2,2,2,1,1,1,97,80,17,18,244,155,89,91,1,1,1,0,0,0,12,9,10,0,0,0,23,21,22,0,0,0,0,0,0
ARAPAHOE,ENGLEWOOD 1,3496,2117,1364,1512,398,260,138,152,365,261,104,115,2056,1271,777,865,1,0,1,1,1577,1021,553,592,257,111,145,165,302,251,51,51,1673,1016,649,714,1823,1101,715,798,37,25,12,13,148,61,86,93,1282,755,522,576,1889,1202,678,755,52,21,21,8,4,4,191,76,85,0,0,0,50,13,15,30,9,12,22,11,12
ARAPAHOE,SHERIDAN 2,1848,1169,680,702,185,129,56,58,827,610,218,226,1448,1000,449,465,44,31,13,13,1226,783,444,459,117,64,53,57,54,44,10,10,902,563,339,349,946,606,341,353,40,31,9,9,86,40,46,49,1338,869,470,484,332,200,132,137,18,6,6,51,11,11,131,41,43,2,0,0,140,46,48,29,9,10,14,6,7
