,county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
0,STATE TOTAL,STATE TOTAL,5775,3099,53.7,3222,55.8,6171,3289,53.3,3364,54.5,25718,15791,61.4,16726,65.0,384,214,55.7,223,58.1,7398,3853,52.1,4129,55.8,2394,1175,49.1,1262,52.7,6604,6048,91.6,6156,93.2
2,ADAMS,MAPLETON 1,49,18,36.7,19,38.8,219,73,33.3,76,34.7,374,142,38.0,154,41.2,8,5,62.5,5,62.5,218,118,54.1,124,56.9,41,12,29.3,16,39.0,44,27,61.4,27,61.4
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,250,118,47.2,127,50.8,379,257,67.8,261,68.9,1100,627,57.0,673,61.2,25,12,48.0,12,48.0,224,80,35.7,98,43.8,106,62,58.5,65,61.3,227,201,88.5,208,91.6
4,ADAMS,ADAMS COUNTY 14,59,32,54.2,32,54.2,170,86,50.6,88,51.8,469,309,65.9,316,67.4,13,4,30.8,4,30.8,419,296,70.6,301,71.8,99,52,52.5,57,57.6,30,27,90.0,27,90.0
5,ADAMS,BRIGHTON 27J,66,33,50.0,35,53.0,110,63,57.3,66,60.0,338,215,63.6,229,67.8,10,5,50.0,6,60.0,18,10,55.6,10,55.6,41,21,51.2,21,51.2,63,51,81.0,52,82.5
6,ADAMS,BENNETT 29J,6,3,50.0,3,50.0,3,2,66.7,2,66.7,21,17,81.0,17,81.0,0,0,0.0,0,0.0,3,1,33.3,1,33.3,0,0,0.0,0,0.0,13,13,100.0,13,100.0
7,ADAMS,STRASBURG 31J,14,12,85.7,12,85.7,5,3,60.0,3,60.0,45,36,80.0,36,80.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,5,4,80.0,4,80.0
8,ADAMS,WESTMINSTER 50,65,26,40.0,27,41.5,238,147,61.8,147,61.8,452,270,59.7,278,61.5,7,6,85.7,6,85.7,50,21,42.0,22,44.0,73,43,58.9,45,61.6,20,14,70.0,14,70.0
9,ALAMOSA,ALAMOSA RE-11J,14,12,85.7,13,92.9,26,19,73.1,19,73.1,118,79,66.9,82,69.5,11,4,36.4,4,36.4,5,1,20.0,1,20.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0
10,ALAMOSA,SANGRE DE CRISTO RE-22J,1,1,100.0,1,100.0,0,0,0.0,0,0.0,12,9,75.0,10,83.3,0,0,0.0,0,0.0,23,21,91.3,22,95.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0
11,ARAPAHOE,ENGLEWOOD 1,52,21,40.4,21,40.4,8,4,50.0,4,50.0,191,76,39.8,85,44.5,0,0,0.0,0,0.0,50,13,26.0,15,30.0,30,9,30.0,12,40.0,22,11,50.0,12,54.5
12,ARAPAHOE,SHERIDAN 2,18,6,33.3,6,33.3,51,11,21.6,11,21.6,131,41,31.3,43,32.8,2,0,0.0,0,0.0,140,46,32.9,48,34.3,29,9,31.0,10,34.5,14,6,42.9,7,50.0
13,ARAPAHOE,CHERRY CREEK 5,412,264,64.1,270,65.5,219,176,80.4,177,80.8,1100,894,81.3,915,83.2,1,1,100.0,1,100.0,67,53,79.1,56,83.6,16,12,75.0,12,75.0,343,328,95.6,330,96.2
14,ARAPAHOE,LITTLETON 6,116,76,65.5,77,66.4,56,35,62.5,36,64.3,247,181,73.3,190,76.9,2,2,100.0,2,100.0,18,13,72.2,14,77.8,19,10,52.6,12,63.2,320,316,98.8,317,99.1
15,ARAPAHOE,DEER TRAIL 26J,4,3,75.0,3,75.0,0,0,0.0,0,0.0,11,10,90.9,10,90.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,269,75,27.9,75,27.9,1039,303,29.2,306,29.5,2004,901,45.0,931,46.5,15,5,33.3,6,40.0,212,76,35.8,79,37.3,148,55,37.2,55,37.2,209,158,75.6,161,77.0
17,ARAPAHOE,BYERS 32J,3,3,100.0,3,100.0,0,0,0.0,0,0.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
18,ARCHULETA,ARCHULETA COUNTY 50 JT,11,5,45.5,5,45.5,0,0,0.0,0,0.0,59,38,64.4,40,67.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,5,1,20.0,1,20.0,12,10,83.3,11,91.7
19,BACA,WALSH RE-1,0,0,0.0,0,0.0,0,0,0.0,0,0.0,7,7,100.0,7,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
20,BACA,PRITCHETT RE-3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,3,75.0,4,100.0,0,0,0.0,0,0.0,6,5,83.3,6,100.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
21,BACA,SPRINGFIELD RE-4,1,1,100.0,1,100.0,1,1,100.0,1,100.0,15,13,86.7,14,93.3,0,0,0.0,0,0.0,22,20,90.9,21,95.5,0,0,0.0,0,0.0,1,1,100.0,1,100.0
22,BACA,VILAS RE-5,7,3,42.9,3,42.9,1,1,100.0,1,100.0,53,10,18.9,18,34.0,1,0,0.0,0,0.0,9,2,22.2,3,33.3,0,0,0.0,0,0.0,1,1,100.0,1,100.0
23,BACA,CAMPO RE-6,1,1,100.0,1,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
24,BENT,LAS ANIMAS RE-1,10,5,50.0,5,50.0,0,0,0.0,0,0.0,25,18,72.0,18,72.0,0,0,0.0,0,0.0,15,11,73.3,11,73.3,0,0,0.0,0,0.0,3,3,100.0,3,100.0
25,BENT,MC CLAVE RE-2,1,1,100.0,1,100.0,2,2,100.0,2,100.0,14,13,92.9,13,92.9,1,1,100.0,1,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
26,BOULDER,ST VRAIN VALLEY RE 1J,118,61,51.7,63,53.4,171,110,64.3,112,65.5,587,403,68.7,412,70.2,10,7,70.0,7,70.0,5,1,20.0,1,20.0,87,54,62.1,56,64.4,171,170,99.4,170,99.4
27,BOULDER,BOULDER VALLEY RE 2,230,160,69.6,163,70.9,140,99,70.7,101,72.1,508,374,73.6,387,76.2,5,4,80.0,4,80.0,10,5,50.0,6,60.0,133,85,63.9,86,64.7,362,343,94.8,352,97.2
