,county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,939283,705064,75.1,231706,24.7,253577,27,84121,65593,78,18348,21.8,20784,24.7,135712,101683,74.9,33730,24.9,37912,27.9,369904,273934,74.1,94138,25.4,107242,29,2732,1725,63.1,988,36.2,1108,40.6,223008,156814,70.3,64601,29,73472,32.9,21337,11326,53.1,9665,45.3,11558,54.2,73344,66620,90.8,6641,9.1,7366,10
1,ADAMS,MAPLETON 1,9037,5077,56.2,3919,43.4,4133,45.7,735,469,63.8,261,35.5,279,38,2863,1890,66,963,33.6,1045,36.5,2729,1948,71.4,772,28.3,837,30.7,32,18,56.3,14,43.8,15,46.9,4045,2717,67.2,1317,32.6,1365,33.7,214,142,66.4,70,32.7,79,36.9,250,205,82,44,17.6,47,18.8
2,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,49889,34283,68.7,15424,30.9,16854,33.8,4339,3001,69.2,1325,30.5,1501,34.6,6141,4149,67.6,1969,32.1,2248,36.6,18560,12191,65.7,6267,33.8,7138,38.5,93,79,84.9,14,15.1,16,17.2,8571,5618,65.5,2873,33.5,3369,39.3,705,290,41.1,403,57.2,481,68.2,3590,3225,89.8,361,10.1,404,11.3
3,ADAMS,ADAMS COUNTY 14,8265,5510,66.7,3038,36.8,3397,41.1,876,636,72.6,266,30.4,311,35.5,3826,2795,73.1,1235,32.3,1405,36.7,6657,4745,71.3,1961,29.5,2244,33.7,54,41,75.9,14,25.9,16,29.6,5555,3989,71.8,1537,27.7,1782,32.1,886,433,48.9,440,49.7,529,59.7,377,317,84.1,75,19.9,89,23.6
4,ADAMS,BRIGHTON 27J,17152,13109,76.4,3982,23.2,4294,25,1405,1133,80.6,268,19.1,300,21.4,2404,1875,78,522,21.7,581,24.2,5986,4687,78.3,1275,21.3,1434,24,73,46,63,26,35.6,34,46.6,624,465,74.5,157,25.2,173,27.7,383,122,31.9,260,67.9,287,74.9,703,630,89.6,70,10,76,10.8
5,ADAMS,BENNETT 29J,1200,895,74.6,305,25.4,312,26,131,90,68.7,41,31.3,41,31.3,85,57,67.1,28,32.9,29,34.1,110,78,70.9,32,29.1,32,29.1,1,1,100,0,0,0,0,450,329,73.1,121,26.9,123,27.3,0,0,0,0,0,0,0,55,51,92.7,4,7.3,4,7.3
6,ADAMS,STRASBURG 31J,1052,828,78.7,224,21.3,227,21.6,128,102,79.7,26,20.3,26,20.3,40,29,72.5,11,27.5,11,27.5,240,188,78.3,52,21.7,54,22.5,0,0,0,0,0,0,0,42,33,78.6,9,21.4,9,21.4,0,0,0,0,0,0,0,42,42,100,0,0,0,0
7,ADAMS,WESTMINSTER 50,11951,7570,63.3,4330,36.2,4708,39.4,1234,832,67.4,401,32.5,438,35.5,5414,3744,69.2,1651,30.5,1810,33.4,9630,6183,64.2,3404,35.3,3728,38.7,61,47,77,14,23,16,26.2,4550,2856,62.8,1666,36.6,1834,40.3,1464,815,55.7,637,43.5,728,49.7,414,348,84.1,66,15.9,71,17.1
8,ALAMOSA,ALAMOSA RE-11J,2420,1641,67.8,771,31.9,833,34.4,207,152,73.4,54,26.1,57,27.5,345,243,70.4,101,29.3,116,33.6,1786,1188,66.5,592,33.1,640,35.8,77,42,54.5,34,44.2,40,51.9,1201,790,65.8,411,34.2,426,35.5,84,26,31,58,69,60,71.4,26,21,80.8,5,19.2,5,19.2
9,ALAMOSA,SANGRE DE CRISTO RE-22J,355,241,67.9,114,32.1,117,33,16,7,43.8,9,56.3,9,56.3,23,22,95.7,1,4.3,1,4.3,222,147,66.2,75,33.8,78,35.1,10,10,100,0,0,0,0,353,241,68.3,112,31.7,115,32.6,0,0,0,0,0,0,0,12,10,83.3,2,16.7,2,16.7
