,county,school_dist,total_pupil_count,total_stable_student_count,total_stability_rate,total_mobile_student_count,total_student_mobility_rate,total_instances_of_mobility,total_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,939283,705064,75.1,231706,24.7,253577,27,458512,344767,75.2,112568,24.6,122761,26.8,480771,360297,74.9,119138,24.8,130816,27.2,8356,5496,65.8,2820,33.7,3172,38,28964,22363,77.2,6568,22.7,7074,24.4,48049,31117,64.8,16622,34.6,18690,38.9,301035,219543,72.9,80495,26.7,90374,30,521342,403611,77.4,116715,22.4,124994,24,2208,1433,64.9,768,34.8,840,38,29329,21501,73.3,7718,26.3,8433,28.8
2,ADAMS,MAPLETON 1,9037,5077,56.2,3919,43.4,4133,45.7,4450,2486,55.9,1946,43.7,2049,46,4587,2591,56.5,1973,43,2084,45.4,101,54,53.5,47,46.5,47,46.5,108,51,47.2,57,52.8,58,53.7,179,86,48,92,51.4,96,53.6,5599,3377,60.3,2194,39.2,2362,42.2,2807,1373,48.9,1422,50.7,1462,52.1,24,7,29.2,17,70.8,17,70.8,219,129,58.9,90,41.1,91,41.6
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,49889,34283,68.7,15424,30.9,16854,33.8,24340,16773,68.9,7500,30.8,8121,33.4,25549,17510,68.5,7924,31,8733,34.2,397,226,56.9,168,42.3,182,45.8,2388,1936,81.1,450,18.8,505,21.1,1295,725,56,569,43.9,614,47.4,16458,11076,67.3,5304,32.2,6059,36.8,28603,19818,69.3,8691,30.4,9230,32.3,86,47,54.7,39,45.3,42,48.8,662,455,68.7,203,30.7,222,33.5
4,ADAMS,ADAMS COUNTY 14,8265,5510,66.7,3038,36.8,3397,41.1,3966,2652,66.9,1482,37.4,1650,41.6,4299,2858,66.5,1556,36.2,1747,40.6,67,43,64.2,25,37.3,27,40.3,20,16,80,4,20,4,20,222,107,48.2,115,51.8,119,53.6,6722,4616,68.7,2366,35.2,2660,39.6,1178,699,59.3,502,42.6,559,47.5,1,1,100,0,0,0,0,55,28,50.9,26,47.3,28,50.9
5,ADAMS,BRIGHTON 27J,17152,13109,76.4,3982,23.2,4294,25,8452,6475,76.6,1943,23,2103,24.9,8700,6634,76.3,2039,23.4,2191,25.2,100,80,80,20,20,21,21,436,331,75.9,105,24.1,114,26.1,336,208,61.9,124,36.9,131,39,7523,5721,76,1776,23.6,1945,25.9,8298,6440,77.6,1829,22,1944,23.4,36,25,69.4,11,30.6,12,33.3,423,304,71.9,117,27.7,127,30
6,ADAMS,BENNETT 29J,1200,895,74.6,305,25.4,312,26,551,413,75,138,25,140,25.4,649,482,74.3,167,25.7,172,26.5,18,14,77.8,4,22.2,4,22.2,4,4,100,0,0,0,0,7,5,71.4,2,28.6,2,28.6,216,147,68.1,69,31.9,69,31.9,913,695,76.1,218,23.9,225,24.6,5,3,60,2,40,2,40,37,27,73,10,27,10,27
7,ADAMS,STRASBURG 31J,1052,828,78.7,224,21.3,227,21.6,489,384,78.5,105,21.5,107,21.9,563,444,78.9,119,21.1,120,21.3,11,8,72.7,3,27.3,3,27.3,17,14,82.4,3,17.6,3,17.6,19,9,47.4,10,52.6,10,52.6,118,88,74.6,30,25.4,31,26.3,886,709,80,177,20,179,20.2,1,0,0,1,100,1,100,0,0,0,0,0,0,0
8,ADAMS,WESTMINSTER 50,11951,7570,63.3,4330,36.2,4708,39.4,5846,3646,62.4,2178,37.3,2368,40.5,6105,3924,64.3,2152,35.2,2340,38.3,94,56,59.6,38,40.4,43,45.7,574,434,75.6,139,24.2,151,26.3,196,92,46.9,104,53.1,108,55.1,8461,5411,64,3014,35.6,3291,38.9,2437,1457,59.8,966,39.6,1042,42.8,18,8,44.4,10,55.6,11,61.1,171,112,65.5,59,34.5,62,36.3
9,ALAMOSA,ALAMOSA RE-11J,2420,1641,67.8,771,31.9,833,34.4,1181,809,68.5,368,31.2,397,33.6,1239,832,67.2,403,32.5,436,35.2,16,9,56.3,7,43.8,7,43.8,23,16,69.6,7,30.4,7,30.4,12,7,58.3,5,41.7,5,41.7,1518,1053,69.4,459,30.2,510,33.6,814,538,66.1,275,33.8,285,35,2,1,50,1,50,1,50,35,17,48.6,17,48.6,18,51.4
10,ALAMOSA,SANGRE DE CRISTO RE-22J,355,241,67.9,114,32.1,117,33,173,111,64.2,62,35.8,64,37,182,130,71.4,52,28.6,53,29.1,1,1,100,0,0,0,0,2,0,0,2,100,2,100,2,1,50,1,50,1,50,97,80,82.5,17,17.5,18,18.6,244,155,63.5,89,36.5,91,37.3,5,4,80,1,20,1,20,4,0,0,4,100,4,100
11,ARAPAHOE,ENGLEWOOD 1,3496,2117,60.6,1364,39,1512,43.2,1673,1016,60.7,649,38.8,714,42.7,1823,1101,60.4,715,39.2,798,43.8,43,26,60.5,17,39.5,21,48.8,37,25,67.6,12,32.4,13,35.1,148,61,41.2,86,58.1,93,62.8,1282,755,58.9,522,40.7,576,44.9,1889,1202,63.6,678,35.9,755,40,11,6,54.5,5,45.5,5,45.5,86,42,48.8,44,51.2,49,57
12,ARAPAHOE,SHERIDAN 2,1848,1169,63.3,680,36.8,702,38,902,563,62.4,339,37.6,349,38.7,946,606,64.1,341,36,353,37.3,21,14,66.7,7,33.3,7,33.3,40,31,77.5,9,22.5,9,22.5,86,40,46.5,46,53.5,49,57,1338,869,64.9,470,35.1,484,36.2,332,200,60.2,132,39.8,137,41.3,2,1,50,1,50,1,50,29,14,48.3,15,51.7,15,51.7
13,ARAPAHOE,CHERRY CREEK 5,56418,45451,80.6,10922,19.4,11301,20,27427,22268,81.2,5132,18.7,5300,19.3,28991,23183,80,5790,20,6001,20.7,302,235,77.8,67,22.2,72,23.8,4486,3725,83,759,16.9,800,17.8,7179,5230,72.9,1942,27.1,2011,28,10364,7829,75.5,2525,24.4,2610,25.2,31361,26252,83.7,5090,16.2,5249,16.7,149,114,76.5,35,23.5,35,23.5,2577,2066,80.2,504,19.6,524,20.3
14,ARAPAHOE,LITTLETON 6,16504,13418,81.3,3075,18.6,3203,19.4,8082,6625,82,1452,18,1505,18.6,8422,6793,80.7,1623,19.3,1698,20.2,101,72,71.3,28,27.7,30,29.7,536,418,78,118,22,123,22.9,229,153,66.8,75,32.8,78,34.1,2699,2057,76.2,640,23.7,674,25,12296,10229,83.2,2062,16.8,2140,17.4,19,13,68.4,6,31.6,6,31.6,624,476,76.3,146,23.4,152,24.4
15,ARAPAHOE,DEER TRAIL 26J,185,130,70.3,55,29.7,61,33,86,59,68.6,27,31.4,31,36,99,71,71.7,28,28.3,30,30.3,1,0,0,1,100,1,100,2,2,100,0,0,0,0,1,1,100,0,0,0,0,18,10,55.6,8,44.4,9,50,162,117,72.2,45,27.8,50,30.9,0,0,0,0,0,0,0,1,0,0,1,100,1,100
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,45673,31436,68.8,13911,30.5,15360,33.6,22044,15145,68.7,6747,30.6,7431,33.7,23629,16291,68.9,7164,30.3,7929,33.6,343,221,64.4,120,35,132,38.5,2009,1386,69,617,30.7,660,32.9,8242,5233,63.5,2938,35.6,3260,39.6,23087,16700,72.3,6211,26.9,6975,30.2,10070,6736,66.9,3275,32.5,3523,35,215,137,63.7,78,36.3,81,37.7,1707,1023,59.9,672,39.4,729,42.7
17,ARAPAHOE,BYERS 32J,515,388,75.3,127,24.7,130,25.2,257,198,77,59,23,61,23.7,258,190,73.6,68,26.4,69,26.7,0,0,0,0,0,0,0,3,3,100,0,0,0,0,5,3,60,2,40,2,40,56,43,76.8,13,23.2,13,23.2,436,330,75.7,106,24.3,109,25,2,1,50,1,50,1,50,13,8,61.5,5,38.5,5,38.5
18,ARCHULETA,ARCHULETA COUNTY 50 JT,1641,1218,74.2,422,25.7,452,27.5,786,596,75.8,190,24.2,204,26,855,622,72.7,232,27.1,248,29,35,15,42.9,19,54.3,22,62.9,15,11,73.3,4,26.7,4,26.7,21,14,66.7,7,33.3,7,33.3,405,311,76.8,94,23.2,100,24.7,1150,858,74.6,292,25.4,313,27.2,1,0,0,1,100,1,100,14,9,64.3,5,35.7,5,35.7
19,BACA,WALSH RE-1,150,118,78.7,32,21.3,34,22.7,72,50,69.4,22,30.6,23,31.9,78,68,87.2,10,12.8,11,14.1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,53.6,13,46.4,15,53.6,120,101,84.2,19,15.8,19,15.8,0,0,0,0,0,0,0,1,1,100,0,0,0,0
